Time,RTx,RTy,RTz,LTx,LTy,LTz,Px,Py,Pz,Tx,Ty,Tz
0,0.196306944,-0.261742562,-3.20634675,-2.290247679,0.458049506,2.028505087,1.177841544,0.850663364,0.196306944,0.752509892,0.261742562,0.16358912
0.00675,0.294460386,-0.229024753,-2.879168272,-2.290247679,0.523485124,2.12665844,0.98153466,0.948816895,0.196306944,0.719792068,0.359896034,0.196306944
0.0135,-0.261742562,-0.130871281,-1.897633791,-2.322965384,0.65435648,2.355683088,0.785227776,0.948816895,0.261742562,0.65435648,0.458049506,0.229024753
0.02025,-0.948816895,0.03271782,-0.687074244,-2.224812031,0.785227776,2.388401031,0.588920772,0.916099012,0.458049506,0.523485124,0.556203008,0.392613888
0.027,-1.308712959,-0.16358912,1.439584136,-2.061222792,0.883381188,2.322965384,0.425331682,0.81794554,0.719792068,0.392613888,0.621638596,0.49076733
0.03375,-1.930351615,-1.145123839,1.930351615,-1.930351615,0.916099012,2.224812031,0.16358912,0.65435648,1.603173375,0.294460386,0.687074244,0.785227776
0.0405,-1.930351615,-2.290247679,-3.337217808,-1.832198024,0.948816895,2.12665844,-0.098153472,0.392613888,2.551990271,0.16358912,0.65435648,1.308712959
0.04725,-3.86070323,-2.846450567,-3.926138639,-1.734044552,0.98153466,1.930351615,-0.392613888,0.392613888,2.192094088,-0.196306944,0.621638596,1.832198024
0.054,-3.631678104,-0.16358912,-1.079688072,-1.537737727,0.98153466,1.766762376,-1.897633791,1.930351615,1.177841544,-1.079688072,0.687074244,1.864915967
0.06075,-1.96306932,1.537737727,-2.224812031,-1.275995135,0.948816895,1.63589108,-6.54356432,1.734044552,-1.014252543,-1.734044552,0.850663364,1.505019784
0.0675,-0.81794554,4.515059471,-1.014252543,-0.948816895,0.98153466,1.668608904,-4.711366177,-0.359896034,-0.294460386,-1.308712959,1.145123839,1.374148488
0.07425,1.406866312,2.355683088,-1.701326728,-0.719792068,0.98153466,1.701326728,-2.028505087,0.065435641,0.261742562,-0.359896034,1.308712959,1.668608904
0.081,2.715579271,0.621638596,-1.897633791,-0.523485124,0.948816895,1.47230196,-1.766762376,-0.49076733,0.850663364,0.261742562,1.341430664,1.7994802
0.08775,0.98153466,-0.359896034,-1.341430664,-0.359896034,1.112406015,1.079688072,-1.668608904,-1.570455551,1.177841544,0.425331682,1.537737727,2.12665844
0.0945,-0.621638596,-0.883381188,-0.523485124,0.49076733,1.406866312,0.81794554,-1.177841544,-1.96306932,1.014252543,0.294460386,1.734044552,2.192094088
0.10125,-2.486554384,-0.523485124,-0.621638596,1.177841544,1.603173375,0.621638596,-0.948816895,-1.537737727,0.65435648,0.065435641,1.7994802,2.257529736
0.108,-2.977321625,-0.588920772,-1.439584136,1.145123839,1.63589108,0.588920772,-1.046970248,-1.046970248,0.425331682,-0.556203008,1.734044552,2.388401031
0.11475,-0.916099012,-0.229024753,-1.079688072,0.523485124,1.570455551,0.65435648,-1.210559368,-0.621638596,0.32717824,-1.308712959,1.47230196,2.192094088
0.1215,-0.196306944,0.556203008,-0.850663364,-0.130871281,1.275995135,0.588920772,-1.112406015,-0.425331682,0.32717824,-1.505019784,1.210559368,1.995787144
0.12825,-0.752509892,0.458049506,-0.588920772,-0.49076733,0.850663364,0.425331682,-1.112406015,-0.261742562,0.261742562,-1.145123839,1.112406015,1.897633791
0.135,-1.505019784,0.229024753,-0.752509892,-0.556203008,0.621638596,0.16358912,-1.210559368,-0.16358912,0.196306944,-0.719792068,1.145123839,1.864915967
0.14175,-2.257529736,0.130871281,-0.785227776,-0.359896034,0.621638596,0,-1.341430664,-0.098153472,0.130871281,-0.359896034,1.177841544,1.7994802
0.1485,-2.911885977,0.098153472,-0.523485124,-0.03271782,0.65435648,0,-1.406866312,0,0.098153472,-0.098153472,1.177841544,1.668608904
0.15525,-3.075475454,0.196306944,-0.065435641,0.03271782,0.948816895,0,-1.341430664,0.196306944,0.098153472,0.065435641,1.145123839,1.47230196
0.162,-3.20634675,0.16358912,0.130871281,-0.229024753,1.210559368,0.03271782,-1.275995135,0.392613888,0.16358912,0.130871281,1.014252543,1.308712959
0.16875,-3.533524752,0.785227776,0.49076733,-0.556203008,1.243277192,0.03271782,-1.145123839,0.523485124,0.261742562,0.098153472,0.883381188,1.112406015
0.1755,-3.5989604,1.341430664,0.752509892,-0.785227776,1.145123839,0,-1.079688072,0.65435648,0.294460386,0,0.719792068,0.948816895
0.18225,-3.468089104,1.668608904,1.570455551,-0.948816895,1.014252543,-0.065435641,-1.112406015,0.752509892,0.32717824,-0.098153472,0.621638596,0.81794554
0.189,-3.239064455,1.995787144,2.257529736,-1.079688072,0.850663364,-0.229024753,-1.079688072,0.850663364,0.359896034,-0.16358912,0.523485124,0.621638596
0.19575,-2.715579271,1.439584136,2.617425919,-1.145123839,0.785227776,-0.523485124,-1.014252543,0.948816895,0.425331682,-0.196306944,0.425331682,0.458049506
0.2025,-2.093940496,1.046970248,2.715579271,-1.177841544,0.687074244,-0.785227776,-0.883381188,0.98153466,0.458049506,-0.16358912,0.359896034,0.32717824
0.20925,-1.406866312,0.425331682,2.355683088,-1.243277192,0.65435648,-1.112406015,-0.785227776,0.883381188,0.523485124,-0.065435641,0.261742562,0.229024753
0.216,-0.719792068,-0.719792068,1.766762376,-1.308712959,0.556203008,-1.439584136,-0.588920772,0.687074244,0.621638596,0.03271782,0.229024753,0.196306944
0.22275,-0.65435648,-1.406866312,1.341430664,-1.47230196,0.523485124,-1.668608904,-0.392613888,0.425331682,0.687074244,0.16358912,0.229024753,0.196306944
0.2295,-0.916099012,-1.47230196,1.308712959,-1.63589108,0.556203008,-1.995787144,-0.130871281,0.229024753,0.752509892,0.261742562,0.229024753,0.196306944
0.23625,-0.883381188,-1.112406015,1.210559368,-1.734044552,0.49076733,-2.159376144,0.196306944,0.130871281,0.719792068,0.32717824,0.229024753,0.196306944
0.243,-0.81794554,-0.719792068,0.98153466,-2.159376144,0.392613888,-2.159376144,0.523485124,0.196306944,0.65435648,0.359896034,0.261742562,0.16358912
0.24975,-0.785227776,-0.359896034,0.719792068,-2.781014919,0.49076733,-2.617425919,0.81794554,0.32717824,0.556203008,0.359896034,0.294460386,0.098153472
