"Stride","Phase","Stride.Time","Time","RTx","RTy","RTz","LTx","LTy","LTz","Px","Py","Pz","Tx","Ty","Tz"
1,1,0,0,0.785227776,0.752509892,-2.813732624,-2.159376144,0.359896034,1.308712959,0.65435648,0.81794554,-0.098153472,1.112406015,0.261742562,0.196306944
1,1,0.00675,0.00675,0.523485124,0.03271782,-2.650143623,-2.12665844,0.32717824,1.505019784,0.621638596,0.916099012,-0.229024753,1.014252543,0.392613888,0.130871281
1,1,0.0135,0.0135,0.098153472,-0.229024753,-1.766762376,-2.093940496,0.098153472,1.63589108,0.556203008,1.014252543,-0.16358912,0.916099012,0.458049506,0.16358912
1,1,0.02025,0.02025,-0.294460386,-1.406866312,-1.668608904,-2.028505087,-0.16358912,1.734044552,0.523485124,1.014252543,0.16358912,0.883381188,0.458049506,0.229024753
1,1,0.027,0.027,0.392613888,-5.005826473,-5.95464325,-1.864915967,-0.392613888,1.766762376,0.556203008,0.81794554,0.687074244,0.81794554,0.359896034,0.294460386
1,1,0.03375,0.03375,-0.294460386,-6.772589207,-4.253316879,-1.734044552,-0.49076733,1.701326728,0.458049506,0.229024753,1.079688072,0.458049506,0.294460386,0.556203008
1,1,0.0405,0.0405,-5.496593952,-1.145123839,-2.977321625,-1.570455551,-0.556203008,1.505019784,-0.130871281,-0.098153472,1.439584136,-0.261742562,0.32717824,1.079688072
1,1,0.04725,0.04725,-6.510846615,7.525099277,-1.864915967,-1.308712959,-0.588920772,1.210559368,-0.719792068,0.359896034,1.046970248,-1.210559368,0.523485124,1.897633791
1,1,0.054,0.054,-4.155163288,10.3388319,0.098153472,-1.079688072,-0.458049506,0.916099012,-1.308712959,0.916099012,0.752509892,-1.96306932,0.948816895,2.224812031
1,1,0.06075,0.06075,1.374148488,4.809519768,-0.948816895,-1.046970248,-0.359896034,0.850663364,-2.061222792,1.275995135,0.556203008,-2.257529736,1.145123839,2.159376144
1,1,0.0675,0.0675,4.220599174,-1.112406015,-0.425331682,-0.948816895,-0.359896034,0.850663364,-2.682861328,1.308712959,0.196306944,-2.159376144,0.883381188,2.028505087
1,1,0.07425,0.07425,2.453836679,-0.65435648,-1.079688072,-0.785227776,-0.261742562,0.883381188,-2.977321625,0.621638596,0.196306944,-1.014252543,0.621638596,1.734044552
1,1,0.081,0.081,-1.243277192,-0.588920772,-1.374148488,-0.065435641,-0.098153472,0.621638596,-3.468089104,-0.425331682,0.130871281,0.261742562,0.523485124,1.734044552
1,1,0.08775,0.08775,-0.621638596,-0.196306944,-1.570455551,1.734044552,-0.065435641,0.588920772,-2.781014919,-1.439584136,0.130871281,0.948816895,0.719792068,2.061222792
1,1,0.0945,0.0945,-0.719792068,-0.785227776,-1.570455551,4.155163288,-0.196306944,0.098153472,-1.766762376,-1.47230196,0.16358912,0.392613888,0.850663364,2.421118736
1,1,0.10125,0.10125,-1.275995135,0.98153466,0.16358912,5.333004951,-1.014252543,0.229024753,-1.570455551,-0.81794554,0.03271782,-0.883381188,1.014252543,2.519272327
1,1,0.108,0.108,-2.486554384,0.49076733,-0.229024753,3.369935751,-1.47230196,0.425331682,-1.7994802,-0.425331682,-0.098153472,-2.093940496,1.145123839,2.453836679
1,1,0.11475,0.11475,-2.584707975,-0.229024753,-2.093940496,0.916099012,-1.47230196,0.556203008,-1.995787144,-0.196306944,-0.261742562,-2.682861328,1.079688072,2.290247679
1,1,0.1215,0.1215,-1.308712959,0.916099012,-1.570455551,-0.588920772,-1.275995135,0.32717824,-2.12665844,-0.130871281,-0.359896034,-2.257529736,0.916099012,2.028505087
1,1,0.12825,0.12825,-1.505019784,0.425331682,-1.046970248,-0.359896034,-0.98153466,0.16358912,-2.224812031,-0.065435641,-0.458049506,-1.505019784,0.850663364,1.930351615
1,1,0.135,0.135,-2.355683088,0.098153472,-1.243277192,0.196306944,-0.687074244,0.16358912,-2.159376144,0,-0.458049506,-1.014252543,0.883381188,1.766762376
1,1,0.14175,0.14175,-2.94460392,0.588920772,-1.145123839,0.392613888,-0.458049506,0.196306944,-2.028505087,-0.03271782,-0.425331682,-0.850663364,1.014252543,1.537737727
1,1,0.1485,0.1485,-3.500806808,1.079688072,-0.850663364,0.359896034,-0.392613888,0.261742562,-1.864915967,0.065435641,-0.359896034,-0.81794554,1.112406015,1.341430664
1,1,0.15525,0.15525,-3.86070323,1.439584136,0,0.065435641,-0.425331682,0.294460386,-1.63589108,0.229024753,-0.294460386,-0.752509892,1.145123839,1.210559368
1,1,0.162,0.162,-3.893420935,1.537737727,0.523485124,-0.425331682,-0.556203008,0.294460386,-1.439584136,0.392613888,-0.196306944,-0.588920772,1.079688072,1.046970248
1,1,0.16875,0.16875,-3.762549639,1.701326728,1.210559368,-0.752509892,-0.687074244,0.261742562,-1.243277192,0.49076733,-0.098153472,-0.392613888,0.98153466,0.883381188
1,1,0.1755,0.1755,-3.664396048,2.355683088,2.061222792,-0.948816895,-0.752509892,0.261742562,-1.112406015,0.523485124,-0.03271782,-0.196306944,0.785227776,0.687074244
1,1,0.18225,0.18225,-3.402653456,2.846450567,2.617425919,-0.98153466,-0.719792068,0.196306944,-0.98153466,0.458049506,-0.03271782,-0.065435641,0.621638596,0.523485124
1,1,0.189,0.189,-2.781014919,2.781014919,2.584707975,-0.916099012,-0.65435648,0.098153472,-0.65435648,0.425331682,0,0.03271782,0.523485124,0.32717824
1,1,0.19575,0.19575,-1.63589108,2.224812031,2.192094088,-0.81794554,-0.687074244,0,-0.261742562,0.392613888,0.16358912,0.098153472,0.458049506,0.16358912
1,1,0.2025,0.2025,-1.014252543,1.341430664,1.7994802,-0.752509892,-0.81794554,-0.130871281,0.130871281,0.425331682,0.556203008,0.196306944,0.392613888,0.03271782
1,1,0.20925,0.20925,-0.883381188,0.425331682,1.014252543,-0.556203008,-0.916099012,-0.425331682,0.49076733,0.49076733,1.046970248,0.294460386,0.359896034,-0.065435641
1,1,0.216,0.216,-1.570455551,-0.359896034,0.098153472,-0.294460386,-0.916099012,-0.785227776,0.687074244,0.49076733,1.341430664,0.392613888,0.294460386,-0.03271782
1,1,0.22275,0.22275,-1.63589108,-1.63589108,-1.014252543,0.03271782,-0.916099012,-1.243277192,0.752509892,0.392613888,1.374148488,0.392613888,0.196306944,0.03271782
1,1,0.2295,0.2295,-0.81794554,-3.140911102,-0.65435648,0.458049506,-0.98153466,-1.63589108,0.850663364,0.523485124,1.439584136,0.229024753,0.130871281,0.065435641
1,1,0.23625,0.23625,-1.439584136,-2.94460392,-1.374148488,0.98153466,-1.112406015,-2.192094088,0.81794554,0.81794554,1.537737727,0.392613888,0.229024753,0.098153472
1,1,0.243,0.243,-1.505019784,-2.192094088,0.03271782,1.537737727,-1.112406015,-2.682861328,0.785227776,0.916099012,1.243277192,0.425331682,0.392613888,0.065435641
1,1,0.24975,0.24975,-1.832198024,-0.49076733,0.294460386,1.864915967,-1.046970248,-2.977321625,0.916099012,0.785227776,0.883381188,0.294460386,0.458049506,0.03271782
